RDO:;RDO NO.  44  - TAGUIG/PATEROS;;;(Formerly  RDO NO. 35 - PASIG)
PROVINCE:;NCR;;;
CITY/MUNICIPALITY:;TAGUIG;;;
BARANGAY:;BAGONG TANYAG;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
BAGONG TANYAG PROPER;MANALAC AVE-DEAD END;RR;700.00;
SOUTH DAANG HARI;MANALAC-CHARITY;RR;700.00;
JOSEPH SIIT;MANALAC AVE;RR;1,000.00;
STA MARIA INDUSTRIAL EST;MANALAC AVE-DEAD END;I;1,000.00;
AGRICULTURAL LAND;;A;300.00;
AGRICULTURAL LAND;;GP;300.00;
CITY/MUNICIPALITY:;TAGUIG;;;
BARANGAY:;BAGUMBAYAN;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
PERPETUAL VIL;BAGONG TANYAG,BICUTAN;RR;700.00;
MANUEL L QUEZON ST;BAMBANG-BAGUMBAYAN;RR;500.00;
HOLY FAMILY VILLAGE;M QUEZON-DEAD END;RR;600.00;
MAHOGANY SUBD;M QUEZON-DEAD END;RR;600.00;
SEVERINA DIAMOND SUBD;M QUEZON-DEAD END;RR;600.00;
DOMINI VILLAGE;M QUEZON-DEAD END;RR;500.00;
PASONG KALABAO;M QUEZON-STA MARIA;RR;500.00;
BATISAN;M QUEZON-DEAD END;RR;400.00;
SANTIAGO;M QUEZON-DEAD END;RR;350.00;
POSADAS ESTATE;M QUEZON-SS HIGHWAY;RR;700.00;
SANTA TERESA CPD;MANALAC AVE-DEAD END;RR;400.00;
SANTA MARIA INDL EST;MANALAC AVE-DEAD END;I;1,000.00;
JOSEPH SIIT;MANALAC AVE;I;1,000.00;
AGRICULTURAL LAND;;A;300.00;
BAYWATCH HOMES;;RC;8,000.00;
PERPETUAL VIL X PH2;EAST SERV RD-TANYAG;RR;700.00;
ALL OTHER STREETS;;GP;300.00;
CITY/MUNICIPALITY:;TAGUIG;;;
BARANGAY:;BAMBANG;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
MANUEL L QUEZON ST;BRIDGE-QUEZON WAWA;RR;500.00;
BAMBANG PROPER;BRIDGE-WAWA;RR;500.00;
KATIPUNAN ST;M QUEZON-WAWA;RR;300.00;
DULONG BAYAN;CLETO MASTRILL;RR;300.00;
KENTUCKY ST;M QUEZON-DEAD END;RR;300.00;
AGRICULTURAL LAND;;A;300.00;
ALL OTHER STREETS;;GP;400.00;
CITY/MUNICIPALITY:;TAGUIG;;;
BARANGAY:;CALZADA TIPAS;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
F MANALO ST;STA ANA-PALINGON BR;RR;500.00;
E P  SANTOS SUBD;RUHALE-VICE VERSA;RR;500.00;
RUHALE ROAD CREEK;BRIDGE-LAGUNA DE BAY;RR;350.00;
LANGKAK SITIO;RUHALE-DEAD END;RR;350.00;
MUNGCAL;RUHALE-DEAD END;RR;350.00;
POLINTAN COMPOUND;F MANALO-DEAD END;RR;500.00;
AGRICULTURAL LAND;;A;300.00;
ALL OTHER STREETS;;GP;300.00;
AGRICULTURAL LAND;ALONG LAGUNA DE BAY;A50;50.00;
CITY/MUNICIPALITY:;TAGUIG;;;
BARANGAY:;HAGONOY;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;1ST REV.ZV.SQ.M.;
MANUEL L. QUEZON ST;WAWA-BICUTAN BRIDGE;RR;500.00;
ST MICHAEL SUBDIVISION;M QUEZON-DEAD END;RR;500.00;
DEVA VILLAGE;M QUEZON-DEAD END;RR;500.00;
MORNING SUN SUBD;M QUEZON-DEAD END;RR;500.00;
BAY BREEZE SUBD;M QUEZON-BACK;RR;650.00;
BALTAZAR CAPISTRANO;DAANG KALABAO;RR;400.00;
DIMASALANG ST;M QUEZON-DEAD END;RR;400.00;
BRGY ROAD;DIMASALANG-DEAD END;RR;400.00;
AGRICULTURAL LAND;;A;100.00;
ALL OTHER STREETS;;GP;300.00;
