RDO:;RDO NO.  44  - TAGUIG/PATEROS;;;(Formerly  RDO NO. 35 - PASIG)
PROVINCE:;NCR;;;
MUNICIPALITY:;TAGUIG;;;
BARANGAY:;BAGONG TANYAG;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITAL ZV.SQ.M.;
BAGONG TANYAG;;RR;210.00;
JOSEPH SIIT ST;;RR;325.00;
SO. DAANG HARI;;RR;210.00;
CITY/MUNICIPALITY:;PATEROS;;;
BARANGAY:;BAGUMBAYAN;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITAL ZV.SQ.M.;
BATISAN;;RR;210.00;
DOMINI VIL;DOMINI VIL;RR;210.00;
HOLY FAMILY VIL;HOLY FAMILY VIL;RR;310.00;
MAHOGANY SUBD;MAHOGANY SUBD;RR;310.00;
PASONG KALABAO;;RR;210.00;
PERPETUAL VIL;PERPETUAL VIL;RR;310.00;
POSADAS ESTATE;POSADAS ESTATE;RR;310.00;
PRES. M L QUEZON ST.;;RR;225.00;
SANTIAGO;;RR;185.00;
SEVERINA REALTY;SEVERINA REALTY;RR;310.00;
SANTA MARIA REAL;SANTA MARIA REAL;I;300.00;
CITY/MUNICIPALITY:;PATEROS;;;
BARANGAY:;BAMBANG;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITAL ZV.SQ.M.;
DULONG BAYAN ST.;;RR;165.00;
KATIPUNAN ST.;;RR;165.00;
KENTUCKY ST.;;RR;165.00;
PRES. M L QUEZON;;RR;200.00;
CITY/MUNICIPALITY:;PATEROS;;;
BARANGAY:;CALZADA;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITAL ZV.SQ.M.;
E P  SANTOS SUBD;E P  SANTOS SUBD;RR;230.00;
F. MANALO ST;;RR;215.00;
LANGKOKOK;;RR;180.00;
MUNCAL;;RR;180.00;
POLITAN CPD;POLINTAN CPD;RR;195.00;
ROHALE ST;;RR;185.00;
CITY/MUNICIPALITY:;PATEROS;;;
BARANGAY:;HAGONOY;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITAL ZV.SQ.M.;
B CAPISTRANO ST.;;RR;210.00;
BARANGAY ROAD;;RR;140.00;
DEVA VILLAGE;DEVA VILLAGE;RR;240.00;
DIMASALANG ST;;RR;155.00;
PRES M.L. QUEZON ST;;RR;225.00;
ST. MICHAEL SUBD;ST. MICHAEL SUBD;RR;240.00;
CITY/MUNICIPALITY:;PATEROS;;;
BARANGAY:;IBAYO TIPAS;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITAL ZV.SQ.M.;
BAMBANG CALLEJO;;RR;140.00;
CAPISTRANO ST;;RR;140.00;
CAPT F CIANO ST;;RR;140.00;
DAANG MANUNUSO;;I;160.00;
DAANG PAA ST;;RR;140.00;
DR A NATIVIDAD;;RR;160.00;
ELISCO ROAD;;I;225.00;
F DINGUINBAYAN;;RR;140.00;
J RAMOS ST;;RR;155.00;
JDL COMPOUND;;RR;195.00;
MABATO ST;;RR;140.00;
MAGKAWIT;;I;225.00;
P ZAMORA ST;;RR;140.00;
SUKOL;;I;225.00;
ULILANG KAWAYAN;;RR;140.00;
ULILANG KAWAYAN;;;;
ULILANG KAWAYAN;;;;
ULILANG KAWAYAN;;;;
CITY/MUNICIPALITY:;PATEROS;;;
BARANGAY:;LIGID TIPAS;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITAL ZV.SQ.M.;
CAPT TANYAG ST;;RR;165.00;
E ORDONEZ ST;;RR;195.00;
I UMALI ST;;RR;170.00;
J LUNA ST;;RR;195.00;
L LABAO ST;;RR;195.00;
MAESTRANG PINAN;;RR;160.00;
PANDAY ST;;RR;135.00;
S RAMOS ST;;RR;170.00;
SAPANG VIEJO;;RR;125.00;
SCHOOL ROAD;;RR;165.00;
CITY/MUNICIPALITY:;PATEROS;;;
BARANGAY:;LOWER BICUTAN;;;
STREET NAME/SUBDIVISION;V I C I N I T Y;CLASSIFICATION;INITAL ZV.SQ.M.;
GEN SANTOS AVE;;RR;290.00;
PRES M L QUEZON ST;;RR;235.00;
